FID,field,Var1,Var2,value
0,45937,59.375000000000000,-161.875000000000000,1
1,45995,59.375000000000000,-161.625000000000000,1
2,46053,59.375000000000000,-161.375000000000000,1
3,46111,59.375000000000000,-161.125000000000000,1
4,46169,59.375000000000000,-160.875000000000000,1
5,46227,59.375000000000000,-160.625000000000000,1
6,46285,59.375000000000000,-160.375000000000000,1
7,46343,59.375000000000000,-160.125000000000000,1
8,46401,59.375000000000000,-159.875000000000000,1
9,46459,59.375000000000000,-159.625000000000000,1
10,46517,59.375000000000000,-159.375000000000000,1
11,46575,59.375000000000000,-159.125000000000000,1
12,46633,59.375000000000000,-158.875000000000000,1
13,46691,59.375000000000000,-158.625000000000000,1
14,46749,59.375000000000000,-158.375000000000000,1
15,46807,59.375000000000000,-158.125000000000000,1
16,46865,59.375000000000000,-157.875000000000000,1
17,46866,57.375000000000000,-157.875000000000000,1
18,46923,59.375000000000000,-157.625000000000000,1
19,46924,57.375000000000000,-157.625000000000000,1
20,46981,59.375000000000000,-157.375000000000000,1
21,46982,57.375000000000000,-157.375000000000000,1
22,47039,59.375000000000000,-157.125000000000000,1
23,47040,57.375000000000000,-157.125000000000000,1
24,47097,59.375000000000000,-156.875000000000000,1
25,47098,57.375000000000000,-156.875000000000000,1
26,47155,59.375000000000000,-156.625000000000000,1
27,47156,57.375000000000000,-156.625000000000000,1
28,47213,59.375000000000000,-156.375000000000000,1
29,47271,59.375000000000000,-156.125000000000000,1
30,47329,59.375000000000000,-155.875000000000000,1
31,47387,59.375000000000000,-155.625000000000000,1
32,47445,59.375000000000000,-155.375000000000000,1
33,47503,59.375000000000000,-155.125000000000000,1
34,47561,59.375000000000000,-154.875000000000000,1
35,47619,59.375000000000000,-154.625000000000000,1
36,47677,59.375000000000000,-154.375000000000000,1
37,47735,59.375000000000000,-154.125000000000000,1
38,47909,59.375000000000000,-153.375000000000000,1
39,48257,59.375000000000000,-151.875000000000000,1
40,48315,59.375000000000000,-151.625000000000000,1
41,48373,59.375000000000000,-151.375000000000000,1
42,48431,59.375000000000000,-151.125000000000000,1
43,48489,59.375000000000000,-150.875000000000000,1
44,48547,59.375000000000000,-150.625000000000000,1
45,51157,59.375000000000000,-139.375000000000000,1
46,51215,59.375000000000000,-139.125000000000000,1
47,51273,59.375000000000000,-138.875000000000000,1
48,51331,59.375000000000000,-138.625000000000000,1
49,51389,59.375000000000000,-138.375000000000000,1
50,51447,59.375000000000000,-138.125000000000000,1
51,51505,59.375000000000000,-137.875000000000000,1
52,51563,59.375000000000000,-137.625000000000000,1
53,51621,59.375000000000000,-137.375000000000000,1
54,51679,59.375000000000000,-137.125000000000000,1
55,51737,59.375000000000000,-136.875000000000000,1
56,51795,59.375000000000000,-136.625000000000000,1
57,51853,59.375000000000000,-136.375000000000000,1
58,51911,59.375000000000000,-136.125000000000000,1
59,51969,59.375000000000000,-135.875000000000000,1
60,52027,59.375000000000000,-135.625000000000000,1
61,52086,57.375000000000000,-135.375000000000000,1
62,52143,59.375000000000000,-135.125000000000000,1
63,52144,57.375000000000000,-135.125000000000000,1
64,52201,59.375000000000000,-134.875000000000000,1
65,52202,57.375000000000000,-134.875000000000000,1
66,52259,59.375000000000000,-134.625000000000000,1
67,52317,59.375000000000000,-134.375000000000000,1
68,52375,59.375000000000000,-134.125000000000000,1
69,52376,57.375000000000000,-134.125000000000000,1
70,52433,59.375000000000000,-133.875000000000000,1
71,52434,57.375000000000000,-133.875000000000000,1
72,52491,59.375000000000000,-133.625000000000000,1
73,52549,59.375000000000000,-133.375000000000000,1
74,52550,57.375000000000000,-133.375000000000000,1
75,52607,59.375000000000000,-133.125000000000000,1
76,52608,57.375000000000000,-133.125000000000000,1
77,52665,59.375000000000000,-132.875000000000000,1
78,52666,57.375000000000000,-132.875000000000000,1
79,52723,59.375000000000000,-132.625000000000000,1
80,52724,57.375000000000000,-132.625000000000000,1
81,52781,59.375000000000000,-132.375000000000000,1
82,52782,57.375000000000000,-132.375000000000000,1
83,52839,59.375000000000000,-132.125000000000000,1
84,52840,57.375000000000000,-132.125000000000000,1
85,52897,59.375000000000000,-131.875000000000000,1
86,52898,57.375000000000000,-131.875000000000000,1
87,52955,59.375000000000000,-131.625000000000000,1
88,52956,57.375000000000000,-131.625000000000000,1
89,53013,59.375000000000000,-131.375000000000000,1
90,53014,57.375000000000000,-131.375000000000000,1
91,53071,59.375000000000000,-131.125000000000000,1
92,53072,57.375000000000000,-131.125000000000000,1
93,53073,55.375000000000000,-131.125000000000000,1
94,53129,59.375000000000000,-130.875000000000000,1
95,53130,57.375000000000000,-130.875000000000000,1
96,53187,59.375000000000000,-130.625000000000000,1
97,53188,57.375000000000000,-130.625000000000000,1
98,53189,55.375000000000000,-130.625000000000000,1
99,53245,59.375000000000000,-130.375000000000000,1
100,53246,57.375000000000000,-130.375000000000000,1
101,53247,55.375000000000000,-130.375000000000000,1
102,53303,59.375000000000000,-130.125000000000000,1
103,53304,57.375000000000000,-130.125000000000000,1
104,53305,55.375000000000000,-130.125000000000000,1
105,53361,59.375000000000000,-129.875000000000000,1
106,53362,57.375000000000000,-129.875000000000000,1
107,53363,55.375000000000000,-129.875000000000000,1
108,53419,59.375000000000000,-129.625000000000000,1
109,53420,57.375000000000000,-129.625000000000000,1
110,53421,55.375000000000000,-129.625000000000000,1
111,53477,59.375000000000000,-129.375000000000000,1
112,53478,57.375000000000000,-129.375000000000000,1
113,53479,55.375000000000000,-129.375000000000000,1
114,53535,59.375000000000000,-129.125000000000000,1
115,53536,57.375000000000000,-129.125000000000000,1
116,53537,55.375000000000000,-129.125000000000000,1
117,53593,59.375000000000000,-128.875000000000000,1
118,53594,57.375000000000000,-128.875000000000000,1
119,53595,55.375000000000000,-128.875000000000000,1
120,53651,59.375000000000000,-128.625000000000000,1
121,53652,57.375000000000000,-128.625000000000000,1
122,53653,55.375000000000000,-128.625000000000000,1
123,53654,53.375000000000000,-128.625000000000000,1
124,53709,59.375000000000000,-128.375000000000000,1
125,53710,57.375000000000000,-128.375000000000000,1
126,53711,55.375000000000000,-128.375000000000000,1
127,53712,53.375000000000000,-128.375000000000000,1
128,53767,59.375000000000000,-128.125000000000000,1
129,53768,57.375000000000000,-128.125000000000000,1
130,53769,55.375000000000000,-128.125000000000000,1
131,53770,53.375000000000000,-128.125000000000000,1
132,53825,59.375000000000000,-127.875000000000000,1
133,53826,57.375000000000000,-127.875000000000000,1
134,53827,55.375000000000000,-127.875000000000000,1
135,53828,53.375000000000000,-127.875000000000000,1
136,53883,59.375000000000000,-127.625000000000000,1
137,53884,57.375000000000000,-127.625000000000000,1
138,53885,55.375000000000000,-127.625000000000000,1
139,53886,53.375000000000000,-127.625000000000000,1
140,53887,51.375000000000000,-127.625000000000000,1
141,53941,59.375000000000000,-127.375000000000000,1
142,53942,57.375000000000000,-127.375000000000000,1
143,53943,55.375000000000000,-127.375000000000000,1
144,53944,53.375000000000000,-127.375000000000000,1
145,53945,51.375000000000000,-127.375000000000000,1
146,53999,59.375000000000000,-127.125000000000000,1
147,54000,57.375000000000000,-127.125000000000000,1
148,54001,55.375000000000000,-127.125000000000000,1
149,54002,53.375000000000000,-127.125000000000000,1
150,54057,59.375000000000000,-126.875000000000000,1
151,54058,57.375000000000000,-126.875000000000000,1
152,54059,55.375000000000000,-126.875000000000000,1
153,54060,53.375000000000000,-126.875000000000000,1
154,54061,51.375000000000000,-126.875000000000000,1
155,54115,59.375000000000000,-126.625000000000000,1
156,54116,57.375000000000000,-126.625000000000000,1
157,54117,55.375000000000000,-126.625000000000000,1
158,54118,53.375000000000000,-126.625000000000000,1
159,54119,51.375000000000000,-126.625000000000000,1
160,54173,59.375000000000000,-126.375000000000000,1
161,54174,57.375000000000000,-126.375000000000000,1
162,54175,55.375000000000000,-126.375000000000000,1
